% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 08:26
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=500, Switch 1=Stainless Steel
0.02484848484848485       -0.006                   -263.9625195291919-635.4932701660489i
0.02515151515151515       -0.006                   -261.69909609276505-651.3953258625866i
0.025454545454545455      -0.006                   -259.43432589250483-667.9970465731584i
0.025757575757575757      -0.006                   -257.16886952371055-685.3393778264683i
0.026060606060606062      -0.006                   -254.9006127961253-703.4176906809154i
0.026363636363636363      -0.006                   -252.6080203336448-722.3922331223631i
0.026666666666666665      -0.006                   -250.2894203604028-742.3976107909937i
0.02696969696969697       -0.006                   -247.94481287639925-763.4338236868072i
0.02727272727272727       -0.006                   -245.55585670879165-785.6327894773663i
0.027575757575757576      -0.006                   -243.1271795447466-809.405012385907i
0.027878787878787878      -0.006                   -240.66020478827386-834.7636119660312i
0.028181818181818183      -0.006                   -238.14233360503854-861.7769055491066i
0.028484848484848484      -0.006                   -235.6322161979307-891.5239686222272i
0.02878787878787879       -0.006                   -233.1518644377017-924.2347182805355i
0.02909090909090909       -0.006                   -230.60192022571775-958.9674419361662i
0.029393939393939392      -0.006                   -228.75644746675783-1004.5474460599743i
0.029696969696969697      -0.006                   -228.3354193848693-1068.6002494684624i
0.03                      -0.006                   2.208276282310774E-11-4.399549459831369E-12i
0                         -0.00593939393939394     0.08687020438864655+0.5681318005881894i
3.0303030303030303E-4     -0.00593939393939394     -38.57846569616826-11.344212044940447i
6.060606060606061E-4      -0.00593939393939394     -76.82450729763416-23.249197136659323i
9.090909090909091E-4      -0.00593939393939394     -114.89058620796567-35.12131999695692i
0.0012121212121212121     -0.00593939393939394     -152.16523222818842-45.51468758256259i
0.0015151515151515152     -0.00593939393939394     -188.4838086615333-56.89294768138002i
0.0018181818181818182     -0.00593939393939394     -224.31614691317725-68.15839948244817i
0.002121212121212121      -0.00593939393939394     -258.98801799300264-78.11980970063426i
0.0024242424242424242     -0.00593939393939394     -291.55073766913597-88.33599944493191i
0.0027272727272727275     -0.00593939393939394     -323.37146339574946-98.38564539490382i
0.0030303030303030303     -0.00593939393939394     -354.3172485104726-107.49880124632915i
0.003333333333333333      -0.00593939393939394     -381.8265207766593-116.0940112008878i
0.0036363636363636364     -0.00593939393939394     -408.39213116099626-124.56614212559349i
0.00393939393939394       -0.00593939393939394     -434.0329092872366-132.8389776987522i
0.004242424242424242      -0.00593939393939394     -456.29932003176873-139.55679497601744i
0.004545454545454545      -0.00593939393939394     -476.8798350420876-146.3274274298344i
0.0048484848484848485     -0.00593939393939394     -496.444847463004-152.90092120606417i
0.005151515151515152      -0.00593939393939394     -513.4347087812424-158.47318222912867i
0.005454545454545455      -0.00593939393939394     -527.8728068959687-163.64361037782515i
0.005757575757575757      -0.00593939393939394     -541.2942762738636-168.64991655329467i
0.006060606060606061      -0.00593939393939394     -553.1455294454756-173.19668558770383i
0.006363636363636364      -0.00593939393939394     -561.8275264520721-177.09328191114744i
0.006666666666666666      -0.00593939393939394     -569.5664217845801-180.88101615068666i
