% Model:              FEA.mph
% Version:            COMSOL 5.1.0.145
% Date:               Jun 23 2022, 13:21
% Dimension:          3
% Nodes:              100
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        m
% x                       y                        z                        mf.Bx (T) @ freq=2E6                              mf.By (T) @ freq=2E6                              mf.Bz (T) @ freq=2E6
0.0019999999999999983     0                        0.0015                   -0.0013620443010155365+1.181082730756897E-9i      -2.3174442122632713E-5+1.1881718409921022E-11i    0.005369297086486816-3.881005593675266E-8i
0.002363636363636363      0                        0.0015                   -0.0016488545018603607+1.6086984586285538E-9i     3.03496740603821E-6-3.356015585347462E-11i        0.005349603065789959-3.8138224258695217E-8i
0.0027272727272727275     0                        0.0015                   -0.002057507496046109+2.7573703126731416E-9i      -1.870416422489543E-6+7.209773946170524E-11i      0.004996223399843641-3.5390704627544834E-8i
0.003090909090909092      0                        0.0015                   -0.0024055219098659585+3.635937401577278E-9i      6.060913304535955E-6+1.0331707132639072E-11i      0.0050650686611886184-3.571710705103283E-8i
0.003454545454545453      0                        0.0015                   -0.003115071262032317+5.969703434576488E-9i       4.249535454901256E-6+4.0207439346902835E-12i      0.005054707238850903-3.489778119675907E-8i
0.003818181818181818      0                        0.0015                   -0.003809646072819556+8.25107514896654E-9i        1.2777947377323783E-6+2.1039593077198107E-12i     0.005068468545432303-3.416744480390625E-8i
0.004181818181818182      0                        0.0015                   -0.004332335632354518+9.965525119393721E-9i       7.569926004352375E-6-3.149756717528316E-11i       0.004379217173743084-3.066094616265445E-8i
0.004545454545454547      0                        0.0015                   -0.004560737564737679+1.057564060496007E-8i       7.116781138506842E-6-3.1906459635047986E-11i      0.0030746110777806167-2.4444747337787634E-8i
0.004909090909090908      0                        0.0015                   -0.004513939514415519+1.0124381312038362E-8i      -9.709162686350717E-6+3.669739383674528E-11i      0.0021701492688220823-1.9833292120761782E-8i
0.005272727272727273      0                        0.0015                   -0.004326311827725161+9.109493146857888E-9i       -2.7027165947258102E-5+9.206318694823677E-11i     8.445428185599214E-4-1.3767169544045099E-8i
0.005636363636363637      0                        0.0015                   -0.003913623705881282+7.2124226757742615E-9i      -2.648648620407016E-5+1.23750394573028E-10i       -1.2701184513852493E-7-9.675890631296704E-9i
0.005999999999999998      0                        0.0015                   -0.0030401317595839146+3.5324878150582223E-9i     2.0707331020955455E-5-7.757178913780657E-11i      -2.1771541232560622E-4-8.016003165154055E-9i
0.006363636363636363      0                        0.0015                   -0.002663390849552656+2.019723107863679E-9i       -1.8888527419298393E-5+7.103840330712444E-11i     -4.140621960573021E-4-6.203254893097048E-9i
0.006727272727272728      0                        0.0015                   -0.002286649939521392+5.069584006689302E-10i      -5.84843858595517E-5+2.1964859575201244E-10i      -6.104089797889936E-4-4.390506621040147E-9i
0.007090909090909092      0                        0.0015                   -0.0016689502742843298-1.633167001888201E-9i      1.6699828817877838E-5-1.631469654038476E-10i      -7.963589042885774E-4-2.9215209066297152E-9i
0.007454545454545453      0                        0.0015                   -0.0012975778948570503-3.0348120877366814E-9i     -8.77494763896862E-6+8.440678331011899E-11i       -6.433021022063585E-4-3.1068743037761E-9i
0.007818181818181818      0                        0.0015                   -0.0011114451578168034-3.5455542567164023E-9i     -1.2159865072063764E-6-1.254464355761906E-11i     -6.731602773084618E-4-2.24608495462596E-9i
0.008181818181818182      0                        0.0015                   -8.922733629199179E-4-4.323346984272262E-9i       -3.5065412901703636E-6+2.788844104604813E-11i     -7.000845737429771E-4-1.4916442912959343E-9i
0.008545454545454547      0                        0.0015                   -7.171345902468888E-4-4.833160496933652E-9i       4.627103072978749E-6-2.207083398981871E-12i       -6.94301142700966E-4-8.535978864129932E-10i
0.008909090909090908      0                        0.0015                   -6.053080144153974E-4-5.0573686267672985E-9i      1.0621173841115703E-6-1.5121261838172414E-11i     -5.991855203725505E-4-7.714191939218855E-10i
0.009272727272727273      0                        0.0015                   -5.087712531308261E-4-5.278816422009944E-9i       -3.1290497788973026E-6-6.877061131729504E-12i     -5.075736063489523E-4-7.273751603236245E-10i
0.009636363636363637      0                        0.0015                   -4.01734078248145E-4-5.4549720411311184E-9i       -5.936583442508179E-6+2.4015302974370088E-11i     -5.105380523504786E-4-1.6844557498682757E-10i
0.010000000000000002      0                        0.0015                   -3.4375668952048863E-4-5.4834699495123905E-9i     -3.0369430724990973E-6+2.982635308225463E-12i     -4.5054992559016155E-4-5.314236764911144E-11i
0.010363636363636363      0                        0.0015                   -3.021719672728898E-4-5.352758099907778E-9i       -1.1768270033896827E-7-1.0171682145327883E-11i    -4.256892225975861E-4+2.715924664150856E-10i
0.010727272727272728      0                        0.0015                   -2.5307894823726064E-4-5.278791829703143E-9i      -3.280783539257818E-6+5.306816764797936E-12i      -3.824456036752213E-4+3.88594700613668E-10i
0.011090909090909092      0                        0.0015                   -2.1166510433390934E-4-5.1368425564789254E-9i     -5.367025930915609E-6+1.9559690456605298E-11i     -3.7254985530099996E-4+6.567835680416134E-10i
0.011454545454545453      0                        0.0015                   -1.8548063277464086E-4-5.012192889995478E-9i      -1.8333029758758543E-6-1.1467752596647607E-11i    -3.440404221668695E-4+8.677106394328069E-10i
0.011818181818181818      0                        0.0015                   -1.602331189335213E-4-4.873118418128429E-9i       1.7305941485881021E-6-3.5331422637408555E-12i     -3.145676687441618E-4+1.0303833382149714E-9i
0.012181818181818183      0                        0.0015                   -1.3498560509240176E-4-4.734043946261214E-9i      5.294491273053793E-6+4.401468069007077E-12i       -2.8509491532145703E-4+1.1930560369973478E-9i
0.012545454545454547      0                        0.0015                   -1.1861609723289786E-4-4.564127649736451E-9i      1.4854211255169083E-6-1.0010011437427622E-11i     -2.618758879340109E-4+1.2914345137399027E-9i
0.012909090909090908      0                        0.0015                   -9.862602776392468E-5-4.394097752258638E-9i       2.573204281331289E-6+2.0254494662494256E-11i      -2.515821440106003E-4+1.4914623839703631E-9i
0.013272727272727276      0                        0.0015                   -8.528025695696521E-5-4.218017476178683E-9i       1.0149833803414863E-6-5.910077183757703E-12i      -2.3892554682355732E-4+1.6297165536871578E-9i
0.013636363636363634      0                        0.0015                   -7.193448615000676E-5-4.041937200098617E-9i       -5.432375206486416E-7-3.207464902995672E-11i      -2.2626894963651516E-4+1.7679707234039524E-9i
0.013999999999999999      0                        0.0015                   -6.119066444300022E-5-3.873352844720472E-9i       -1.2975121153861198E-6-1.5929068006153263E-11i    -2.1222823906624148E-4+1.869190174810477E-9i
0.014363636363636363      0                        0.0015                   -5.408773155688817E-5-3.6989812182291676E-9i      -3.485942521083544E-7-5.578426433342091E-12i      -1.9621439356002864E-4+1.9473669501871227E-9i
0.014727272727272728      0                        0.0015                   -4.698479867077635E-5-3.5246095917377575E-9i      6.003236111692213E-7+4.772215139389671E-12i       -1.802005480538158E-4+2.0255437255635565E-9i
0.015090909090909092      0                        0.0015                   -3.9841938300509976E-5-3.3561647678398067E-9i     1.1848529742138243E-6+9.626602430694889E-12i      -1.7447531482012776E-4+2.1340102691090056E-9i
0.015454545454545457      0                        0.0015                   -3.5676134099644314E-5-3.193668781041509E-9i      6.500285969096055E-7-3.3879592431383595E-12i      -1.6058729410361365E-4+2.195251920831948E-9i
0.01581818181818182       0                        0.0015                   -3.1875715821798214E-5-3.004477080782063E-9i      -4.533307154757065E-7+1.5738250010371242E-11i     -1.4993686583999002E-4+2.2657761287083868E-9i
0.016181818181818186      0                        0.0015                   -2.7396099238349045E-5-2.803046611598773E-9i      -2.416573423899386E-7+7.301489494875526E-12i      -1.4348774022204715E-4+2.353827952697267E-9i
0.016545454545454544      0                        0.0015                   -2.2916482654899604E-5-2.60161614241551E-9i       -2.998396930438754E-8-1.1352710205407808E-12i     -1.370386146041039E-4+2.4418797766861272E-9i
0.01690909090909091       0                        0.0015                   -1.8686043935320406E-5-2.3734937124456646E-9i     4.840944056057599E-7-3.076477054724817E-11i       -1.3041055302138202E-4+2.5207142643745947E-9i
0.017272727272727273      0                        0.0015                   -1.6644349473466562E-5-2.148013037786399E-9i      1.4818925144946104E-6+9.403061230016301E-12i      -1.227244475131722E-4+2.581056793581654E-9i
0.017636363636363638      0                        0.0015                   -1.4315224022563508E-5-1.936179768683656E-9i      6.716173404203683E-7+1.464165832540037E-11i       -1.1628326289919064E-4+2.5824592470721127E-9i
0.018000000000000002      0                        0.0015                   -1.1986098571660562E-5-1.724346499580807E-9i      -1.3865783365449714E-7+1.988025542100943E-11i     -1.0984207828520771E-4+2.583861700561777E-9i
