% Model:              FEA.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jul 31 2022, 07:55
% Dimension:          2
% Nodes:              10000
% Expressions:        1
% Description:        Current density, phi component
% Length unit:        m
% r                       z                        mf.Jphi (A/m^2) @ freq=20000, Switch 1=Titanium beta-21S
0.017575757575757574      -0.00593939393939394     -21723.93918100853+9303.384250015297i
0.01787878787878788       -0.00593939393939394     -20723.07367765006+9315.352098241807i
0.01818181818181818       -0.00593939393939394     -19763.602956924995+9299.923673455047i
0.018484848484848486      -0.00593939393939394     -18843.72657385531+9267.441044772457i
0.018787878787878787      -0.00593939393939394     -17962.840671112514+9215.545668233472i
0.019090909090909092      -0.00593939393939394     -17121.928818042867+9142.039117197288i
0.019393939393939394      -0.00593939393939394     -16319.712681231866+9055.619832235929i
0.019696969696969695      -0.00593939393939394     -15554.6999372102+8955.006730980434i
0.02                      -0.00593939393939394     -14827.151231177322+8839.166857894903i
0.020303030303030302      -0.00593939393939394     -14137.05200497569+8711.511791003828i
0.020606060606060607      -0.00593939393939394     -13481.397657384403+8574.945930318581i
0.02090909090909091       -0.00593939393939394     -12860.330191454603+8428.399598011023i
0.021212121212121213      -0.00593939393939394     -12274.40797128686+8271.142926651068i
0.021515151515151515      -0.00593939393939394     -11720.152776013541+8108.84503830324i
0.02181818181818182       -0.00593939393939394     -11197.430831816948+7939.736781006725i
0.02212121212121212       -0.00593939393939394     -10706.784882442245+7762.641220197483i
0.022424242424242423      -0.00593939393939394     -10245.236672477935+7582.291012453167i
0.022727272727272728      -0.00593939393939394     -9811.997530117269+7397.289819501173i
0.02303030303030303       -0.00593939393939394     -9407.487338028584+7206.543294231779i
0.023333333333333334      -0.00593939393939394     -9029.759734652895+7013.230297427666i
0.023636363636363636      -0.00593939393939394     -8677.058977195575+6816.64045985546i
0.02393939393939394       -0.00593939393939394     -8349.433722309606+6616.618857028517i
0.024242424242424242      -0.00593939393939394     -8046.785398595301+6412.455681411732i
0.024545454545454544      -0.00593939393939394     -7765.809232417717+6206.396194443883i
0.02484848484848485       -0.00593939393939394     -7506.738643247567+5997.272244051151i
0.02515151515151515       -0.00593939393939394     -7269.874529029188+5784.214046518779i
0.025454545454545455      -0.00593939393939394     -7052.030047863375+5568.8060897586i
0.025757575757575757      -0.00593939393939394     -6852.9814578623045+5349.952898315372i
0.026060606060606062      -0.00593939393939394     -6673.19639468736+5126.8437901839625i
0.026363636363636363      -0.00593939393939394     -6510.024536028802+4900.441544804942i
0.026666666666666665      -0.00593939393939394     -6362.560911079186+4669.582477027831i
0.02696969696969697       -0.00593939393939394     -6230.869581518138+4434.17803422038i
0.02727272727272727       -0.00593939393939394     -6114.306717007766+4192.9573760437925i
0.027575757575757576      -0.00593939393939394     -6009.9388213704815+3946.3764079200505i
0.027878787878787878      -0.00593939393939394     -5918.116906252379+3693.840931838249i
0.028181818181818183      -0.00593939393939394     -5838.952790420192+3433.971933229658i
0.028484848484848484      -0.00593939393939394     -5768.925741313261+3166.788407719902i
0.02878787878787879       -0.00593939393939394     -5708.1276413061505+2891.838523089942i
0.02909090909090909       -0.00593939393939394     -5656.95112141023+2607.8301017529184i
0.029393939393939392      -0.00593939393939394     -5612.04090836969+2314.026040858722i
0.029696969696969697      -0.00593939393939394     -5572.800902237192+2010.7999611061718i
0.03                      -0.00593939393939394     -2.5463124912967357E-9-8.322072497927193E-9i
0                         -0.005878787878787879    7.036252158634021+7.649024359520473i
3.0303030303030303E-4     -0.005878787878787879    -4199.087606758563-1554.0989178849816i
6.060606060606061E-4      -0.005878787878787879    -8368.425606946468-3101.489679918967i
9.090909090909091E-4      -0.005878787878787879    -12497.628136335656-4626.138179607683i
