% Model,disk.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 2 2022, 14:12"
% Dimension,2
% Nodes,2822
% Expressions,2
% Description,"Magnetic flux density, z component, Magnetic flux density, r component"
% Length unit,m
% r,z,mf.Bz (T) @ freq=5000,mf.Br (T) @ freq=5000
0.030096507419840518,-0.004551323247959134,6.940316047278782E-6-1.3278559842782307E-6i,4.034879058979388E-7+3.61842468447084E-7i
0.03,-0.004399999999999988,7.16859676289929E-6-1.5186325943342534E-6i,3.8484817756585487E-7+3.744742485139408E-7i
0.0300960957643652,-0.004450903114570292,7.043765336392176E-6-1.4113814981756968E-6i,3.226668089670582E-7+4.205818537738861E-7i
0.03,-0.004299999999999988,7.273692672389847E-6-1.604693511078663E-6i,3.1593154309064283E-7+4.493317393296775E-7i
0.030096182785317022,-0.004351693710369936,7.149676314042911E-6-1.4906093300682297E-6i,2.4691957313388216E-7+4.872413693800588E-7i
0.03,-0.0041999999999999885,7.385411396301334E-6-1.6870291238779808E-6i,2.516001081436107E-7+5.323487430260423E-7i
0.030097944493833444,-0.004252173068922774,7.259952191865246E-6-1.5654425402072675E-6i,1.728925025780771E-7+5.632580846513072E-7i
0.03,-0.004099999999999989,7.504807303804381E-6-1.7654054989566463E-6i,1.909460275501779E-7+6.23323209432798E-7i
0.030098558832239396,-0.004151729538936989,7.378474322312762E-6-1.6379971530736548E-6i,1.025097257793269E-7+6.468354471404352E-7i
0.03,-0.003999999999999989,7.632859754161606E-6-1.8396158134102771E-6i,1.3299945793428835E-7+7.221639692399754E-7i
0.03009576952653903,-0.004051518800538994,7.50625686863092E-6-1.7095219157573746E-6i,3.886552867887643E-8+7.35574125168371E-7i
0.03,-0.0038999999999999894,7.77054978125471E-6-1.909353174378861E-6i,7.670312245400063E-8+8.2888507639247E-7i
0.030093272923547198,-0.003950310632430278,7.64329902454209E-6-1.7776347434178425E-6i,-2.395847346331777E-8+8.333621627981309E-7i
0.03,-0.00379999999999999,7.91876357762483E-6-1.974175276597646E-6i,2.090407161462588E-8+9.434859885141151E-7i
0.03009429721454913,-0.003849147299716773,7.787345552289155E-6-1.8373716832276777E-6i,-9.117683274881107E-8+9.410083148338886E-7i
0.03,-0.00369999999999999,8.078238862932266E-6-2.033685389981702E-6i,-3.5616954387974845E-8+1.0659999138503589E-6i
0.03009544912152884,-0.003749984129116479,7.938107034396726E-6-1.890477661284792E-6i,-1.5838439309175394E-7+1.053846070749997E-6i
0.03,-0.003599999999999991,8.249691541099003E-6-2.0874354493015364E-6i,-9.41488469624446E-8+1.1965075235590091E-6i
0.030095440627527188,-0.0036515289851224014,8.09869535464107E-6-1.9390817139284127E-6i,-2.2533355997015232E-7+1.1724798142805433E-6i
0.03,-0.003499999999999991,8.433776670013822E-6-2.1348250371229726E-6i,-1.5604991712949933E-7+1.3351152038815116E-6i
0.030095472001998174,-0.0035530319934439117,8.26999732202688E-6-1.9817663789403163E-6i,-2.9551389372189216E-7+1.2984170967184376E-6i
0.03,-0.003399999999999991,8.631118179321756E-6-2.1752341114838715E-6i,-2.2278418153622682E-7+1.4818897727331304E-6i
0.03009461864710929,-0.003453683814997757,8.454788099767777E-6-2.0194417069401765E-6i,-3.691004852310873E-7+1.4324987858848235E-6i
0.03,-0.0032999999999999917,8.842289534917845E-6-2.207765006534051E-6i,-2.9600161827592034E-7+1.6369725303665192E-6i
0.030094364553442138,-0.0033524964940205367,8.654900866369414E-6-2.049624096866089E-6i,-4.510574627686454E-7+1.576992128570213E-6i
0.03,-0.005499999999999984,6.035427116862967E-6-4.437020483134891E-7i,1.6322274776016997E-6+2.594321149045124E-7i
